State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Gujarat,AHMADABAD,1997,Kharif     ,Arhar/Tur,2900,2200
Gujarat,AHMADABAD,1997,Kharif     ,Bajra,41700,43700
Gujarat,AHMADABAD,1997,Kharif     ,Dry chillies,700,700
Gujarat,AHMADABAD,1997,Kharif     ,Groundnut,500,600
Gujarat,AHMADABAD,1997,Kharif     ,Jowar,42500,33500
Gujarat,AHMADABAD,1997,Kharif     ,Moong(Green Gram),2300,1200
Gujarat,AHMADABAD,1997,Kharif     ,Moth,100,100
Gujarat,AHMADABAD,1997,Kharif     ,Other Kharif pulses,400,200
Gujarat,AHMADABAD,1997,Kharif     ,Urad,1300,1100
Gujarat,AHMADABAD,1997,Rabi       ,Gram,14400,7200
Gujarat,AHMADABAD,1997,Rabi       ,Jowar,2000,1700
Gujarat,AHMADABAD,1997,Rabi       ,Rapeseed &Mustard,9000,9400
Gujarat,AHMADABAD,1997,Rabi       ,Wheat,96000,121400
Gujarat,AHMADABAD,1997,Summer     ,Bajra,12200,26300
Gujarat,AHMADABAD,1997,Summer     ,Groundnut,100,100
Gujarat,AHMADABAD,1997,Whole Year ,Banana,200,14300
Gujarat,AHMADABAD,1997,Whole Year ,Castor seed,24300,35500
Gujarat,AHMADABAD,1997,Whole Year ,Cotton(lint),154900,181500
Gujarat,AHMADABAD,1997,Whole Year ,Maize,600,1000
Gujarat,AHMADABAD,1997,Whole Year ,Potato,2300,50000
Gujarat,AHMADABAD,1997,Whole Year ,Pulses total,7000,48
Gujarat,AHMADABAD,1997,Whole Year ,Rice,75300,114500
Gujarat,AHMADABAD,1997,Whole Year ,Sesamum,9300,6800
Gujarat,AHMADABAD,1997,Whole Year ,Sugarcane,600,39000
Gujarat,AHMADABAD,1997,Whole Year ,Tobacco,1200,2100
Gujarat,AHMADABAD,1998,Kharif     ,Arhar/Tur,3300,3100
Gujarat,AHMADABAD,1998,Kharif     ,Bajra,37300,43700
Gujarat,AHMADABAD,1998,Kharif     ,Castor seed,28500,65200
Gujarat,AHMADABAD,1998,Kharif     ,Cotton(lint),178800,293100
Gujarat,AHMADABAD,1998,Kharif     ,Groundnut,700,900
Gujarat,AHMADABAD,1998,Kharif     ,Jowar,58400,48200
Gujarat,AHMADABAD,1998,Kharif     ,Maize,1300,2200
Gujarat,AHMADABAD,1998,Kharif     ,Moong(Green Gram),2400,1300
Gujarat,AHMADABAD,1998,Kharif     ,Moth,300,100
Gujarat,AHMADABAD,1998,Kharif     ,Other Cereals & Millets,400,200
Gujarat,AHMADABAD,1998,Kharif     ,Other Kharif pulses,700,300
Gujarat,AHMADABAD,1998,Kharif     ,Rice,52200,72600
Gujarat,AHMADABAD,1998,Kharif     ,Sesamum,9900,5900
Gujarat,AHMADABAD,1998,Kharif     ,Small millets,400,200
Gujarat,AHMADABAD,1998,Kharif     ,Urad,1300,900
Gujarat,AHMADABAD,1998,Rabi       ,Gram,12300,6500
Gujarat,AHMADABAD,1998,Rabi       ,Jowar,2500,2000
Gujarat,AHMADABAD,1998,Rabi       ,Rapeseed &Mustard,6300,6300
Gujarat,AHMADABAD,1998,Rabi       ,Wheat,91600,138900
Gujarat,AHMADABAD,1998,Summer     ,Bajra,11100,22600
Gujarat,AHMADABAD,1998,Summer     ,Groundnut,400,600
Gujarat,AHMADABAD,1998,Whole Year ,Banana,100,8000
Gujarat,AHMADABAD,1998,Whole Year ,Oilseeds total,45800,78900
Gujarat,AHMADABAD,1998,Whole Year ,Onion,200,6700
Gujarat,AHMADABAD,1998,Whole Year ,Potato,3100,72300
Gujarat,AHMADABAD,1998,Whole Year ,Pulses total,20300,12200
Gujarat,AHMADABAD,1998,Whole Year ,Sugarcane,600,41000
Gujarat,AHMADABAD,1998,Whole Year ,Tobacco,500,900
Gujarat,AHMADABAD,1999,Kharif     ,Arhar/Tur,4400,3500
Gujarat,AHMADABAD,1999,Kharif     ,Bajra,36600,35100
Gujarat,AHMADABAD,1999,Kharif     ,Castor seed,31500,58700
Gujarat,AHMADABAD,1999,Kharif     ,Cotton(lint),151100,182700
Gujarat,AHMADABAD,1999,Kharif     ,Groundnut,1200,400
Gujarat,AHMADABAD,1999,Kharif     ,Jowar,64200,86900
Gujarat,AHMADABAD,1999,Kharif     ,Maize,2400,3100
Gujarat,AHMADABAD,1999,Kharif     ,Moong(Green Gram),2400,1300
Gujarat,AHMADABAD,1999,Kharif     ,Moth,800,100
Gujarat,AHMADABAD,1999,Kharif     ,Other Cereals & Millets,400,100
Gujarat,AHMADABAD,1999,Kharif     ,Other Kharif pulses,200,400
Gujarat,AHMADABAD,1999,Kharif     ,Rice,75100,78900
Gujarat,AHMADABAD,1999,Kharif     ,Sesamum,8000,3800
Gujarat,AHMADABAD,1999,Kharif     ,Small millets,400,100
Gujarat,AHMADABAD,1999,Kharif     ,Urad,1400,300
Gujarat,AHMADABAD,1999,Rabi       ,Gram,11700,4500
Gujarat,AHMADABAD,1999,Rabi       ,Jowar,2800,2500
Gujarat,AHMADABAD,1999,Rabi       ,Rapeseed &Mustard,8100,7700
Gujarat,AHMADABAD,1999,Rabi       ,Wheat,84000,114800
Gujarat,AHMADABAD,1999,Summer     ,Bajra,11000,23400
Gujarat,AHMADABAD,1999,Summer     ,Groundnut,400,700
Gujarat,AHMADABAD,1999,Whole Year ,Banana,100,8800
Gujarat,AHMADABAD,1999,Whole Year ,Dry chillies,200,200
Gujarat,AHMADABAD,1999,Whole Year ,Potato,2500,55500
Gujarat,AHMADABAD,1999,Whole Year ,Sugarcane,600,39000
Gujarat,AHMADABAD,1999,Whole Year ,Tobacco,800,1500
Gujarat,AHMADABAD,2000,Kharif     ,Arhar/Tur,4600,1500
Gujarat,AHMADABAD,2000,Kharif     ,Bajra,36300,28400
Gujarat,AHMADABAD,2000,Kharif     ,Castor seed,30200,31400
Gujarat,AHMADABAD,2000,Kharif     ,Cotton(lint),168000,92800
Gujarat,AHMADABAD,2000,Kharif     ,Groundnut,700,200
Gujarat,AHMADABAD,2000,Kharif     ,Jowar,9600,6100
Gujarat,AHMADABAD,2000,Kharif     ,Maize,500,400
Gujarat,AHMADABAD,2000,Kharif     ,Moong(Green Gram),2300,1200
Gujarat,AHMADABAD,2000,Kharif     ,Moth,900,100
Gujarat,AHMADABAD,2000,Kharif     ,Other Kharif pulses,400,100
Gujarat,AHMADABAD,2000,Kharif     ,Rice,84100,37500
Gujarat,AHMADABAD,2000,Kharif     ,Sesamum,6400,1000
Gujarat,AHMADABAD,2000,Kharif     ,Urad,800,200
